,Genus_Organism,Current_name_reviewed_AA,strain,ITS,TEF,TUB,rpb2,MAT1,MAT2,Genus_Host,Species_Host,Country,Title
751,Botryosphaeria,Botryosphaeria dothidea,BDYK11,KT026967,KT026969,KT026968,NA,NA,NA,Prunus,Prunus serrulata,China,First Report of Prunus serrulata stem canker caused by Botryosphaeria dothidea in China
752,Botryosphaeria,Botryosphaeria dothidea,UY1581,EU860392,NA,NA,NA,NA,NA,Myrceugenia,Myrceugenia euosma,Uruguay,Endophytic and canker-associated Botryosphaeriaceae occurring on non-native Eucalyptus and native Myrtaceae trees in Uruguay
753,Botryosphaeria,Botryosphaeria dothidea,MBAi98AG,KJ921846,KP721652,KP721690,NA,NA,NA,Vitis,Vitis vinifera,Turkey,"Fungal Trunk Pathogens of Sultana Seedless Vineyards in Manisa and Izmir (Aegean Region), Turkey"
754,Botryosphaeria,Botryosphaeria dothidea,WBd31,MN244276,NA,MN244680,NA,NA,NA,Juglans,Juglans regia,Turkey,First Report of Wood Canker Caused by Botryosphaeria dothidea on walnut (Juglans regia) in Turkey
755,Botryosphaeria,Botryosphaeria dothidea,dhhl_07,JN616269,NA,NA,NA,NA,NA,NA,NA,NA,The first report of leaf spot caused by Fusicoccum aesculi on
756,Botryosphaeria,Botryosphaeria dothidea,SZ2,MN318645,MN072365,NA,NA,NA,NA,Cornus,Cornus alba,China,First report of leaf spot of Cornus alba caused by Botryosphaeria dothidea in China
757,Botryosphaeria,Botryosphaeria dothidea,Fi2381,MG020367,NA,NA,NA,NA,NA,Prunus,Prunus persica,Uruguay,Diversity of fungal latent pathogens and true endophytes associated with fruit trees in Uruguay
758,Botryosphaeria,Botryosphaeria dothidea,UCD303Spa,DQ356353,GU294746,DQ356360,NA,NA,NA,Vitis,Vitis vinifera,Spain,"Occurrence of Botryosphaeria obtusa, B. dothidea, and B. parva Associated with Grapevine Trunk Diseases in Castilla y Le n Region, Spain"
759,Botryosphaeria,Botryosphaeria dothidea,123211,KF574872,NA,NA,NA,NA,NA,Taxus,Taxus chinensis,China,Diversity and community structure of endophytic fungi from Taxus chinensis var. mairei
760,Botryosphaeria,Botryosphaeria dothidea,BOT165,KF729167,NA,NA,NA,NA,NA,Cedrus,Cedrus atlantica,Serbia,New and unexpected host associations for Diplodia sapinea in the Western Balkans
761,Botryosphaeria,Botryosphaeria dothidea,AcE3,MF092877,NA,NA,NA,NA,NA,Clinopodium,Clinopodium nepeta,Italy,Characterization of the gall midge Asphondylia nepetae from Clinopodium nepeta
762,Botryosphaeria,Botryosphaeria dothidea,Fi2382,MG020368,NA,NA,NA,NA,NA,Vaccinium,Vaccinium corymbosum,Uruguay,Diversity of fungal latent pathogens and true endophytes associated with fruit trees in Uruguay
763,Botryosphaeria,Botryosphaeria dothidea,CF3,KX417088,NA,NA,NA,NA,NA,Malus,Malus pumila,Brazil,Endophytic and rhizospheric bacteria from wetland as biocontrol agent of postharvest disease of fruit and vegetable
764,Botryosphaeria,Botryosphaeria dothidea,Z920111,KF914913,NA,NA,NA,NA,NA,Acer,Acer palmatum,China,Direct Submission
765,Botryosphaeria,Botryosphaeria dothidea,CXY1813,KP749828,NA,NA,NA,NA,NA,Acer,Acer platanoides,China,First Report of Botryosphaeria dothidea Causing Canker of Acer platanoides in China
766,Botryosphaeria,Botryosphaeria dothidea,MHT_88,KJ801792,KJ801794,KJ801793,NA,NA,NA,Actinidia,Actinidia chinensis,China,"Identification of Botryosphaeriaceae species causing fruit rot of kiwifruit in Sichuan Province, China"
767,Botryosphaeria,Botryosphaeria dothidea,sdau07_143,GQ855792,NA,NA,NA,NA,NA,Begonia,Begonia sp.,China,ITS sequence analysis on begonia ring rot pathogen in China
768,Botryosphaeria,Botryosphaeria dothidea,Kiru1,KM435311,NA,NA,NA,NA,NA,Camellia,Camellia sinensis,Sri Lanka,Morphological and molecular characterization of Botryosphaeria spp associated with stem canker of tea [Camellia sinensis (L.) O. Kuntz] in Sri Lanka
769,Botryosphaeria,Botryosphaeria dothidea,Hen1,KM435312,NA,NA,NA,NA,NA,Camellia,Camellia sinensis,Sri Lanka,Morphological and molecular characterization of Botryosphaeria spp associated with stem canker of tea [Camellia sinensis (L.) O. Kuntz] in Sri Lanka
770,Botryosphaeria,Botryosphaeria dothidea,Hen4,KM435317,NA,NA,NA,NA,NA,Camellia,Camellia sinensis,Sri Lanka,Morphological and molecular characterization of Botryosphaeria spp associated with stem canker of tea [Camellia sinensis (L.) O. Kuntz] in Sri Lanka
771,Botryosphaeria,Botryosphaeria dothidea,YZ4,KP743023,NA,NA,NA,NA,NA,Camellia,Camellia sinensis,China,Diversity difference comparative and analysis of endophytic microorganisms in Zi Juan and Yun Kang 10 (Camellia sinensis)
772,Botryosphaeria,Botryosphaeria dothidea,GZHGS_2017_010,MH492625,MH492626,MH791314,NA,NA,NA,Citrus,Citrus sp.,China,"Pathogen identification of citrus leaf spot disease in Huang Guoshu Tourism Area, Guizhou Province, China"
773,Botryosphaeria,Botryosphaeria dothidea,BDCA08,GU138155,JQ403584,NA,NA,NA,NA,Cornus,Cornus alba,China,"Botryosphaeria dothidea, Causal Agent of a New Stem Canker Disease of Tatarian Dogwood (Cornus alba) in China"
774,Botryosphaeria,Botryosphaeria dothidea,CMW20718,FJ752748,FJ752723,NA,NA,NA,NA,Eucalyptus,Eucalyptus tereticornis,South Africa,"Botryosphaeriaceae, including two new species, identified from a Eucalyptus arboretum in Pretoria, South Africa"
775,Botryosphaeria,Botryosphaeria dothidea,HT100,JX997330,NA,NA,NA,NA,NA,Juglans,Juglans regia,China,First report of Botryosphaeria parva causing canker of seedlings of Junglans regia in China
776,Botryosphaeria,Botryosphaeria dothidea,LBSX_1,KF551232,NA,NA,NA,NA,NA,Juglans,Juglans regia,China,A stem canker disease of walnut Juglans regia L. caused by Botryosphaeria dothidea
777,Botryosphaeria,Botryosphaeria dothidea,sdau08_16,GQ865693,NA,NA,NA,NA,NA,Malus,Malus pumila,China,ITS sequences analysis on apple ring rot of pathogen of east China
778,Botryosphaeria,Botryosphaeria dothidea,JCCa51,KC960920,NA,NA,NA,NA,NA,Malus,Malus pumila,China,Characterization and pathogenicity of three Botryosphaeria species. causing ring rot and stem canker of pear in China
779,Botryosphaeria,Botryosphaeria dothidea,G1,KJ093845,NA,JF440847,NA,NA,NA,Malus,Malus pumila,China,Phylogenetic and pathogenic analyses show that the causal agent of apple ring rot in China is Botryosphaeria dothidea
780,Botryosphaeria,Botryosphaeria dothidea,BRIP24286,EF585508,EF585564,NA,NA,NA,NA,Mangifera,Mangifera indica,Australia,"Botryosphaeriaceae associated with fruit trees in sub-tropical Australia, including the description of Pseudofusicoccum sp. nov"
781,Botryosphaeria,Botryosphaeria dothidea,CMW7020,AY615191,NA,AY615178,NA,NA,NA,Mangifera,Mangifera indica,Australia,Phylogenetic and morphological re-evaluation of the Botryosphaeria species causing diseases of Mangifera indica
782,Botryosphaeria,Botryosphaeria dothidea,CMW7027,AY615192,NA,AY615179,NA,NA,NA,Mangifera,Mangifera indica,Australia,Phylogenetic and morphological re-evaluation of the Botryosphaeria species causing diseases of Mangifera indica
783,Botryosphaeria,Botryosphaeria dothidea,CMW7083,AY615193,NA,NA,NA,NA,NA,Mangifera,Mangifera indica,Australia,Phylogenetic and morphological re-evaluation of the Botryosphaeria species causing diseases of Mangifera indica
784,Botryosphaeria,Botryosphaeria dothidea,XNHG_12WR,HQ660460,HQ660486,HQ660467,NA,NA,NA,NA,NA,China,"Identification and Characterization of Botryosphaeria spp. Causing Gummosis of Peach Trees in Hubei Province, Central China"
785,Botryosphaeria,Botryosphaeria dothidea,ZB_8,MH715239,MH726156,MH726145,NA,NA,NA,NA,NA,China,Direct Submission
786,Botryosphaeria,Botryosphaeria dothidea,ZB_15,MH715242,MH726159,MH726148,NA,NA,NA,NA,NA,China,Direct Submission
787,Botryosphaeria,Botryosphaeria dothidea,ZB_36,MH715245,MH726162,MH726151,NA,NA,NA,NA,NA,China,Direct Submission
788,Botryosphaeria,Botryosphaeria dothidea,ZB_56,MH715247,MH726164,MH726153,NA,NA,NA,NA,NA,China,Direct Submission
789,Botryosphaeria,Botryosphaeria dothidea,ZB_59,MH715248,MH726165,MH726154,NA,NA,NA,NA,NA,China,Direct Submission
790,Botryosphaeria,Botryosphaeria dothidea,ZB_77,MH715249,MH726166,MH726155,NA,NA,NA,NA,NA,China,Direct Submission
791,Botryosphaeria,Botryosphaeria dothidea,Bd_SC_PH_34_04,DQ177876,NA,NA,NA,NA,NA,NA,NA,NA,Identifying and characterizing summer diseases on 'Babygold' peach in South Carolina
792,Botryosphaeria,Botryosphaeria dothidea,NW11_018,JX559382,NA,NA,NA,NA,NA,NA,NA,NA,Direct Submission
793,Botryosphaeria,Botryosphaeria dothidea,DLPZ_1,KM819462,NA,NA,NA,NA,NA,NA,NA,China,Identification of the pathogen of bean pear circular leaf spot
794,Botryosphaeria,Botryosphaeria dothidea,DLPZ_2,KM819463,NA,NA,NA,NA,NA,NA,NA,China,Identification of the pathogen of bean pear circular leaf spot
795,Botryosphaeria,Botryosphaeria dothidea,SDAU_08_73,FJ550211,NA,NA,NA,NA,NA,Paeonia,Paeonia suffruticosa,NA,Identification of pathogen causing leaf blight on Paeonia suffruticosa
796,Botryosphaeria,Botryosphaeria dothidea,SDAU_08_74,FJ550212,NA,NA,NA,NA,NA,Paeonia,Paeonia suffruticosa,NA,Identification of pathogen causing leaf blight on Paeonia suffruticosa
797,Botryosphaeria,Botryosphaeria dothidea,SDAU_08_66,GQ415342,NA,NA,NA,NA,NA,Paeonia,Paeonia suffruticosa,NA,Identification of pathogen causing leaf blight on Paeonia suffruticosa
798,Botryosphaeria,Botryosphaeria dothidea,zm10_1076,JQ323001,NA,NA,NA,NA,NA,Paeonia,Paeonia suffruticosa ,China,"First Report of Fusicoccum aesculi Causing Leaf Spots of Paeonia suffruticosa in Henan Province, China"
799,Botryosphaeria,Botryosphaeria dothidea,DAR81464,JN561086,NA,NA,NA,NA,NA,Pistacia,Pistacia vera,Australia,First report of Botryosphaeria dothidea causing shoot blight and cankers of pistachio in Australia
800,Botryosphaeria,Botryosphaeria dothidea,DAR81468,JN561088,NA,NA,NA,NA,NA,Pistacia,Pistacia vera,Australia,First report of Botryosphaeria dothidea causing shoot blight and cankers of pistachio in Australia
801,Botryosphaeria,Botryosphaeria dothidea,SDAU07162,FJ171722,FJ265871,FJ358697,NA,NA,NA,Populus,Populus sp.,China,Poplar stem canker caused by Botryosphaeria dothidea in China
802,Botryosphaeria,Botryosphaeria dothidea,SDAU07163,FJ171719,FJ358700,FJ358698,NA,NA,NA,Populus,Populus sp.,China,Poplar stem canker caused by Botryosphaeria dothidea in China
803,Botryosphaeria,Botryosphaeria dothidea,SDAU08_53,FJ214101,GU997683,FJ238523,NA,NA,NA,Populus,Populus sp.,China,Poplar stem canker caused by Botryosphaeria dothidea in China
804,Botryosphaeria,Botryosphaeria dothidea,SDAU08_103,FJ214105,GU997690,GU997689,NA,NA,NA,Populus,Populus sp.,China,Poplar stem canker caused by Botryosphaeria parva in China
805,Botryosphaeria,Botryosphaeria dothidea,BD080907003,FJ493243,NA,NA,NA,NA,NA,Populus,Populus sp.,China,Molecular characterization of Botryosphaeria dothidea infected Poplar and Willow
806,Botryosphaeria,Botryosphaeria dothidea,BD080705002,FJ493245,NA,NA,NA,NA,NA,Populus,Populus sp.,China,Molecular characterization of Botryosphaeria dothidea infected Poplar and Willow
807,Botryosphaeria,Botryosphaeria dothidea,KER_U_BDAPR1,KF535900,KP793701,NA,NA,NA,NA,Prunus,Prunus armeniaca,"Iran, Islamic Republic of",Phaeoacremonium and Botryosphaeriaceae species associated with decline disease of stone fruit trees in Iran
808,Botryosphaeria,Botryosphaeria dothidea,sdau08_24,GQ855795,NA,NA,NA,NA,NA,Prunus,Prunus persica,China,ITS sequence analysis on peach of pathogenic system in China
809,Botryosphaeria,Botryosphaeria dothidea,shpt01,MN689841,NA,NA,NA,NA,NA,Prunus,Prunus sp.,China,Isolation and identification of pathogen of peach fruit rot in Shanghai
810,Botryosphaeria,Botryosphaeria dothidea,N18,KJ863656,KM349762,KJ863649,NA,NA,NA,Psidium,Psidium guajava,Brazil,Identification of Botryosphaeriaceae species and characterization of the monocycle of stylar-end rot of guava
811,Botryosphaeria,Botryosphaeria dothidea,N17,KJ863655,KM349763,KJ863648,NA,NA,NA,Psidium,Psidium guajava,Brazil,Identification of Botryosphaeriaceae species and characterization of the monocycle of stylar-end rot of guava
812,Botryosphaeria,Botryosphaeria dothidea,N48,KJ863658,KM349764,KJ863651,NA,NA,NA,Psidium,Psidium guajava,Brazil,Identification of Botryosphaeriaceae species and characterization of the monocycle of stylar-end rot of guava
813,Botryosphaeria,Botryosphaeria dothidea,N55,KJ863660,KM349767,KJ863653,NA,NA,NA,Psidium,Psidium guajava,Brazil,Identification of Botryosphaeriaceae species and characterization of the monocycle of stylar-end rot of guava
814,Botryosphaeria,Botryosphaeria dothidea,SDAU07165,FJ171723,FJ265870,FJ238531,NA,NA,NA,Punica,Punica granatum,China,Pomegranate fruit scab caused by Botryosphaeria dothidea in China
815,Botryosphaeria,Botryosphaeria dothidea,SDAU07161,FJ171721,FJ265873,FJ238530,NA,NA,NA,Punica,Punica granatum,China,Pomegranate stem rot caused by Botryosphaeria dothidea in China
816,Botryosphaeria,Botryosphaeria dothidea,SDAU08_50,FJ214099,FJ265874,FJ358694,NA,NA,NA,Punica,Punica granatum,China,Pomegranate stem rot caused by Botryosphaeria dothidea in China
817,Botryosphaeria,Botryosphaeria dothidea,SDAU08_83,FJ358702,FJ265875,FJ358693,NA,NA,NA,Punica,Punica granatum,China,Pomegranate stem rot caused by Botryosphaeria dothidea in China
818,Botryosphaeria,Botryosphaeria dothidea,SDAU07164,FJ171720,FJ358701,FJ238529,NA,NA,NA,Punica,Punica granatum,China,Pomegranate stem rot caused by Botryosphaeria dothidea in China
819,Botryosphaeria,Botryosphaeria dothidea,SDAU07080,EU441944,NA,NA,NA,NA,NA,Punica,Punica granatum,China,First report of pomegranate stem scab caused by Botryosphaeria dothidea in China
820,Botryosphaeria,Botryosphaeria dothidea,SDAU07150,EU600291,NA,NA,NA,NA,NA,Punica,Punica granatum,China,First report of pomegranate stem rot caused by Botryosphaeria dothidea in China
821,Botryosphaeria,Botryosphaeria dothidea,SDAU07_142,FJ214106,NA,NA,NA,NA,NA,Punica,Punica granatum,China,Pomegranate stem scab caused by Botryosphaeria dothidea in China
822,Botryosphaeria,Botryosphaeria dothidea,SDAU08__82,FJ358703,NA,NA,NA,NA,NA,Punica,Punica granatum,China,Pomegranate stem rot caused by Botryosphaeria dothidea in China
823,Botryosphaeria,Botryosphaeria dothidea,sdau07_180,GU723469,NA,NA,NA,NA,NA,Punica,Punica granatum,China,First report of pomegranate fruit black spot disease caused by Botryosphaeria dothidea and B. parva in China
824,Botryosphaeria,Botryosphaeria dothidea,SDAU07_166,GU997686,NA,NA,NA,NA,NA,Punica,Punica granatum,China,Pomegranate fruit scab caused by Botryosphaeria dothidea in China
825,Botryosphaeria,Botryosphaeria dothidea,ShiLiuBranch,JQ936677,NA,NA,NA,NA,NA,Punica,Punica granatum,China,Isolation and Identification of the Pathogen Causing Branch Dry Rot Pomegranate Disease in Shaanxi
826,Botryosphaeria,Botryosphaeria dothidea,YZN1311,KC960910,KC961040,KC960994,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
827,Botryosphaeria,Botryosphaeria dothidea,JCC1311,KC960918,KC961043,KC960996,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
828,Botryosphaeria,Botryosphaeria dothidea,ZH2211,KC960944,KC961048,KC961004,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
829,Botryosphaeria,Botryosphaeria dothidea,LJF2121,KC960933,KF005081,KC960998,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
830,Botryosphaeria,Botryosphaeria dothidea,Y2111,KC960908,NA,NA,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species. causing ring rot and stem canker of pear in China
831,Botryosphaeria,Botryosphaeria dothidea,LSL3211,KC960922,NA,NA,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species. causing ring rot and stem canker of pear in China
832,Botryosphaeria,Botryosphaeria dothidea,ZH2311,KC960945,NA,NA,NA,NA,NA,Pyrus,Pyrus sp.,China,Characterization and pathogenicity of three Botryosphaeria species. causing ring rot and stem canker of pear in China
833,Botryosphaeria,Botryosphaeria dothidea,xsd08087,FJ478129,NA,NA,NA,NA,NA,Quercus,Quercus sp.,NA,Phylogenetic analysis of the sequences of rDNA and internal transcribed spacer (ITS) of fungi isolated from Jiangsu and Anhui Provinces
834,Botryosphaeria,Botryosphaeria dothidea,SDAU08_1,EU979360,NA,NA,NA,NA,NA,Senna,Senna tora,China,First report of legume blight of Cassia tora caused by Botryosphaeria dothidea in China
835,Botryosphaeria,Botryosphaeria dothidea,JL_31,JX867231,NA,NA,NA,NA,NA,Tribulus,Tribulus terrestris,China,Endophytic Fungus from Tribulus terrestris L
836,Botryosphaeria,Botryosphaeria dothidea,HNZs_1,JF441084,JF441073,JF441083,NA,NA,NA,Vitis,Vitis vinifera,NA,Direct Submission
837,Botryosphaeria,Botryosphaeria dothidea,GS_02s_6,JF441086,JF441076,JF441080,NA,NA,NA,Vitis,Vitis vinifera,NA,Direct Submission
838,Botryosphaeria,Botryosphaeria dothidea,PTGZs1,JX275783,JX462297,NA,NA,NA,NA,Vitis,Vitis vinifera,China,Characterization and pathogenicity of fungal pathogens associated with grapevine Botryosphaeria dieback in China
839,Botryosphaeria,Botryosphaeria dothidea,SCCDHBJ01S,JX275795,JX462298,JX462271,NA,NA,NA,Vitis,Vitis vinifera,China,Characterization and pathogenicity of fungal pathogens associated with grapevine Botryosphaeria dieback in China
840,Botryosphaeria,Botryosphaeria dothidea,SD_3S2,JX275792,JX462300,JX462273,NA,NA,NA,Vitis,Vitis vinifera,China,Characterization and pathogenicity of fungal pathogens associated with grapevine Botryosphaeria dieback in China
841,Botryosphaeria,Botryosphaeria dothidea,SHXQXZ2,JX275793,JX462301,JX462274,NA,NA,NA,Vitis,Vitis vinifera,China,Characterization and pathogenicity of fungal pathogens associated with grapevine Botryosphaeria dieback in China
842,Botryosphaeria,Botryosphaeria dothidea,TJMZ1_3,JX275797,JX462303,JX462277,NA,NA,NA,Vitis,Vitis vinifera,China,Characterization and pathogenicity of fungal pathogens associated with grapevine Botryosphaeria dieback in China
843,Botryosphaeria,Botryosphaeria dothidea,ZJHZZ01S,JX275798,JX462305,JX462279,NA,NA,NA,Vitis,Vitis vinifera,China,Characterization and pathogenicity of fungal pathogens associated with grapevine Botryosphaeria dieback in China
844,Botryosphaeria,Botryosphaeria dothidea,MFLUCC_16_0076,KU686877,KU686881,NA,NA,NA,NA,Vitis,Vitis vinifera,Thailand,First report of Botryosphaeria dothidea causing grapevine dieback in Thailand
845,Botryosphaeria,Botryosphaeria dothidea,MFLUCC_16_0085,KU686878,KU686882,NA,NA,NA,NA,Vitis,Vitis vinifera,Thailand,First report of Botryosphaeria dothidea causing grapevine dieback in Thailand
846,Botryosphaeria,Botryosphaeria dothidea,MFLUCC_16_0087,KU686879,KU686883,NA,NA,NA,NA,Vitis,Vitis vinifera,Thailand,First report of Botryosphaeria dothidea causing grapevine dieback in Thailand
847,Botryosphaeria,Botryosphaeria dothidea,MFLUCC_16_0092,KU686880,KU686884,NA,NA,NA,NA,Vitis,Vitis vinifera,Thailand,First report of Botryosphaeria dothidea causing grapevine dieback in Thailand
848,Botryosphaeria,Botryosphaeria dothidea,MFLUCC_17_0961,MF409167,MF409160,NA,NA,NA,NA,Vitis,Vitis vinifera,Italy,Direct Submission
849,Botryosphaeria,Botryosphaeria dothidea,MFLUCC170170,MG938746,MG938850,NA,NA,NA,NA,Vitis,Vitis vinifera,China,Direct comparison of culture-dependent and culture-independent molecular approaches to investigate the fungal endophytic communities in stems of grapevine (Vitis vinifera)
850,Botryosphaeria,Botryosphaeria dothidea,MFLUCC170174,MG938747,MG938851,NA,NA,NA,NA,Vitis,Vitis vinifera,China,Direct comparison of culture-dependent and culture-independent molecular approaches to investigate the fungal endophytic communities in stems of grapevine (Vitis vinifera)
851,Botryosphaeria,Botryosphaeria dothidea,MFLUCC170177,MG938748,MG938852,NA,NA,NA,NA,Vitis,Vitis vinifera,China,Direct comparison of culture-dependent and culture-independent molecular approaches to investigate the fungal endophytic communities in stems of grapevine (Vitis vinifera)
852,Botryosphaeria,Botryosphaeria dothidea,MFLUCC170178,MG938749,MG938853,NA,NA,NA,NA,Vitis,Vitis vinifera,China,Direct comparison of culture-dependent and culture-independent molecular approaches to investigate the fungal endophytic communities in stems of grapevine (Vitis vinifera)
853,Botryosphaeria,Botryosphaeria dothidea,MFLUCC170179,MG938750,MG938854,NA,NA,NA,NA,Vitis,Vitis vinifera,China,Direct comparison of culture-dependent and culture-independent molecular approaches to investigate the fungal endophytic communities in stems of grapevine (Vitis vinifera)
854,Botryosphaeria,Botryosphaeria dothidea,CSU_07_WP_BMV14,FJ176567,NA,NA,NA,NA,NA,Vitis,Vitis vinifera,Australia,Identification and distribution of Botryosphaeria spp. associated with grapevine decline in New South Wales and South Australia
855,Botryosphaeria,Botryosphaeria dothidea,CSU_07_WP_BMV15,FJ176568,NA,NA,NA,NA,NA,Vitis,Vitis vinifera,Australia,Identification and distribution of Botryosphaeria spp. associated with grapevine decline in New South Wales and South Australia
856,Botryosphaeria,Botryosphaeria dothidea,HNg_2s_1,JF441087,NA,JF441082,NA,NA,NA,Vitis,Vitis vinifera,NA,Direct Submission
857,Botryosphaeria,Botryosphaeria dothidea,NZB007,KC706907,NA,NA,NA,NA,NA,Vitis,Vitis riparia,New Zealand,Prevalence and distribution of Botryosphaeriaceae species in New Zealand grapevine nurseries
858,Botryosphaeria,Botryosphaeria dothidea,sdxf6,MG282093,MG421006,NA,NA,NA,NA,Xanthoceras,Xanthoceras sp.,China,First Report of Botryosphaeria dothidea Causing Fruit Rot of Yellow Horn in China
859,Botryosphaeria,Botryosphaeria dothidea,GF38,KT356867,NA,NA,NA,NA,NA,Actinidia,Actinidia chinensis,China,Direct Submission
860,Botryosphaeria,Botryosphaeria dothidea,CMW20739,FJ752751,FJ752719,NA,NA,NA,NA,Eucalyptus,Eucalyptus microcorys,South Africa,"Botryosphaeriaceae, including two new species, identified from a Eucalyptus arboretum in Pretoria, South Africa"
861,Botryosphaeria,Botryosphaeria dothidea,MUCC144,EU675669,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus grandis,Australia,A diverse assemblage of Botryosphaeriaceae infect Eucalyptus in introduced and native environments
862,Botryosphaeria,Botryosphaeria dothidea,MUCC148,EU675670,NA,NA,NA,NA,NA,Eucalyptus,Eucalyptus dunnii,Australia,A diverse assemblage of Botryosphaeriaceae infect Eucalyptus in introduced and native environments
863,Botryosphaeria,Botryosphaeria dothidea,IRNHM_BDKB41,KM433846,NA,NA,NA,NA,NA,Ficus,Ficus sp.,"Iran, Islamic Republic of",Fungal pathogens associated with trunk disease of fruit trees in Iran
864,Botryosphaeria,Botryosphaeria dothidea,LJYa101,KC960934,KC961046,KC960999,NA,NA,NA,Malus,Malus pumila,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
865,Botryosphaeria,Botryosphaeria dothidea,LJYz11,KC960975,KC961068,KC961023,NA,NA,NA,Malus,Malus pumila,China,Characterization and pathogenicity of three Botryosphaeria species causing ring rot and stem canker of pear in China
866,Botryosphaeria,Botryosphaeria dothidea,sdau08_10,GQ355865,NA,NA,NA,NA,NA,Malus,Malus pumila,China,ITS sequences analysis on apple ring rot of pathogen of east China
867,Botryosphaeria,Botryosphaeria dothidea,sdau08_07,GQ355868,NA,NA,NA,NA,NA,Malus,Malus pumila,China,ITS sequences analysis of pathogen on Botryosphaeria stem canker of apple in east China
868,Botryosphaeria,Botryosphaeria dothidea,hxliu52,GQ855778,NA,NA,NA,NA,NA,Malus,Malus pumila,China,ITS sequence analysis on apple ring rot of pathogen of east China
869,Botryosphaeria,Botryosphaeria dothidea,sdau07_61,GQ855782,NA,NA,NA,NA,NA,Malus,Malus pumila,China,ITS sequence analysis on apple ring rot of pathogen of east China
870,Botryosphaeria,Botryosphaeria dothidea,sdau07_62,GQ855783,NA,NA,NA,NA,NA,Malus,Malus pumila,China,ITS sequence analysis on apple ring rot of pathogen of east China
871,Botryosphaeria,Botryosphaeria dothidea,sdau07_99,GQ855786,NA,NA,NA,NA,NA,Malus,Malus pumila,China,ITS sequence analysis on apple ring rot of pathogen of east China
872,Botryosphaeria,Botryosphaeria dothidea,sdau07_137,GQ865692,NA,NA,NA,NA,NA,Malus,Malus pumila,China,ITS sequences analysis on apple ring rot of pathogen of east China
873,Botryosphaeria,Botryosphaeria dothidea,sdau07_69,GQ870281,NA,NA,NA,NA,NA,Malus,Malus pumila,China,ITS sequences analysis on apple ring rot of pathogen of east China
874,Botryosphaeria,Botryosphaeria dothidea,sdau07_82,GQ870282,NA,NA,NA,NA,NA,Malus,Malus pumila,China,ITS sequences analysis on apple ring rot of pathogen of east China
875,Botryosphaeria,Botryosphaeria dothidea,sdau07_139,GQ870284,NA,NA,NA,NA,NA,Malus,Malus pumila,China,ITS sequences analysis on apple ring rot of pathogen of east China
876,Botryosphaeria,Botryosphaeria dothidea,sdau08_08,GQ870285,NA,NA,NA,NA,NA,Malus,Malus pumila,China,ITS sequences analysis on apple ring rot of pathogen of east China
877,Botryosphaeria,Botryosphaeria dothidea,BD001,HQ231407,NA,NA,NA,NA,NA,Malus,Malus coronaria,Korea (North),First Report of Canker on Malus coronaria (L.) Mill. Caused by Botryosphaeria dothidea in Korea
878,Botryosphaeria,Botryosphaeria dothidea,LJYa1811,KC960935,NA,NA,NA,NA,NA,Malus,Malus pumila,China,Characterization and pathogenicity of three Botryosphaeria species. causing ring rot and stem canker of pear in China
879,Botryosphaeria,Botryosphaeria dothidea,m110801_4_2,KC816026,NA,NA,NA,NA,NA,Mangifera,Mangifera sp.,China,Pathogenic fungus from mango fruit
880,Botryosphaeria,Botryosphaeria dothidea,sample66,KC816029,NA,NA,NA,NA,NA,Mangifera,Mangifera sp.,China,Pathogenic fungus from mango fruit
881,Botryosphaeria,Botryosphaeria dothidea,m120711_1,KC816031,NA,NA,NA,NA,NA,Mangifera,Mangifera sp.,China,Pathogenic fungus from mango fruit
882,Botryosphaeria,Botryosphaeria dothidea,IRNHM_BDKB42,KM433847,NA,NA,NA,NA,NA,Mespilus,Mespilus germanica,"Iran, Islamic Republic of",Fungal pathogens associated with trunk disease of fruit trees in Iran
883,Botryosphaeria,Botryosphaeria dothidea,KJ94_26,AF027749,NA,NA,NA,NA,NA,NA,NA,NA,Comparison of cultural and morphological and ITS sequences in Botryosphaeria and related taxa
884,Botryosphaeria,Botryosphaeria dothidea,CAP297,EF638758,NA,NA,NA,NA,NA,Olea,Olea europaea,Italy,"Morphology, phylogeny and pathogenicity of Botryosphaeria and Neofusicoccum species associated with drupe rot of olives in southern Italy"
885,Botryosphaeria,Botryosphaeria dothidea,CAP249,EF638768,NA,NA,NA,NA,NA,Olea,Olea europaea,Italy,"Morphology, phylogeny and pathogenicity of Botryosphaeria and Neofusicoccum species associated with drupe rot of olives in southern Italy"
